,hist_name,map_name,mi,mri_key,component,dice,jaccard
105,23X-3,cell_count_100,-0.2898729137947605,mri_2,RGB Mean,0.9133936561598888,0.8405929721815519
106,23X-4,cell_count_100,-0.2730655375639775,mri_2,RGB Mean,0.9713793433521586,0.944351386562442
107,23X-5,cell_count_100,-0.2689225795549706,mri_2,RGB Mean,0.9556327160493828,0.9150350942002216
108,23Y-1,cell_count_100,-0.2762556800884129,mri_1,H&E,0.9740711039828924,0.9494528400208442
109,23Y-2,cell_count_100,-0.3051806368902745,mri_1,H&E,0.9691866714439268,0.9402155022592978
110,23Y-3,cell_count_100,-0.299956809475093,mri_1,H&E,0.9673893567461028,0.9368384521950373
111,23Y-3,cell_count_100,-0.2938995044243857,mri_2,H&E,0.9673932954753618,0.936845839985808
112,23Y-4,cell_count_100,-0.1600692629478631,mri_2,H&E,0.6575648504406106,0.4898298816568047
113,23Y-5,cell_count_100,-0.3225263185601746,mri_2,H&E,0.9667340562396618,0.935610103166133
114,23Y-1,cell_count_100,-0.2728616897041701,mri_1,RB Mean,0.970271979759646,0.9422604422604424
115,23Y-2,cell_count_100,-0.3062285084956103,mri_1,RB Mean,0.9654864091559372,0.933275713050994
116,23Y-3,cell_count_100,-0.2955915948956326,mri_1,RB Mean,0.970336308718781,0.9423817863397548
117,23Y-3,cell_count_100,-0.292538587605316,mri_2,RB Mean,0.967866678943007,0.9377341659232828
118,23Y-4,cell_count_100,-0.1396580840768535,mri_2,RB Mean,0.6000517732332384,0.4286242603550296
119,23Y-5,cell_count_100,-0.3179002040279029,mri_2,RB Mean,0.9644915411786578,0.9314183123877916
120,23Y-1,cell_count_100,-0.2750519434446611,mri_1,RGB Mean,0.9704248073131384,0.9425487465181058
121,23Y-2,cell_count_100,-0.3092431974612268,mri_1,RGB Mean,0.9704830053667264,0.9426585577758472
122,23Y-3,cell_count_100,-0.2936560572378332,mri_1,RGB Mean,0.971217179464044,0.9440449044027364
123,23Y-3,cell_count_100,-0.2934457102956077,mri_2,RGB Mean,0.9644383810823102,0.9313191638854734
124,23Y-4,cell_count_100,-0.1296227104496846,mri_2,RGB Mean,0.5440365738873202,0.3736608792020687
125,23Y-5,cell_count_100,-0.3205284527207671,mri_2,RGB Mean,0.957413682571664,0.918306394940267
