,hist_name,map_name,mi,mri_key,reg_type,dice,jaccard
195,23Y-5,cell_count_100,0.3205284527207671,mri_2,SyN,0.957413682571664,0.918306394940267
196,23Y-1,cell_count_100,0.0755199934875065,mri_1,SyNOnly,0.3986763041017156,0.2489667174244072
197,23Y-2,cell_count_100,0.064385839009734,mri_1,SyNOnly,0.3313812055140103,0.1985961123110151
198,23Y-3,cell_count_100,0.0782326526644684,mri_1,SyNOnly,0.3881810788831661,0.2408341742347796
199,23Y-3,cell_count_100,0.0804997833054561,mri_2,SyNOnly,0.3945205479452054,0.2457337883959044
200,23Y-5,cell_count_100,0.1088332285387163,mri_2,SyNOnly,0.4822633673645959,0.3177516816782579
201,23Y-1,cell_count_100,0.2755383032059728,mri_1,SyNRA,0.9706433479075578,0.9429611650485435
202,23Y-2,cell_count_100,0.3082318040010142,mri_1,SyNRA,0.9686855091969492,0.939272663998608
203,23Y-3,cell_count_100,0.2934376467897292,mri_1,SyNRA,0.9700306914605524,0.9418054338299736
204,23Y-3,cell_count_100,0.292979354634491,mri_2,SyNRA,0.9664527956003668,0.9350833628946434
205,23Y-4,cell_count_100,0.09793998106392,mri_2,SyNRA,0.4364194088120468,0.279115391474942
206,23Y-5,cell_count_100,0.3186691976113588,mri_2,SyNRA,0.9642758238715036,0.9310160427807488
